date,product,region,revenue,quantity,returns
2024-10-01,Widget A,North,1200.50,10,1
2024-10-02,Widget B,South,890.00,7,0
2024-10-03,Widget C,East,2340.75,15,2
2024-10-04,Widget A,West,1550.00,12,1
2024-10-05,Widget D,North,3200.00,20,3
2024-10-06,Widget B,East,780.25,6,0
2024-10-07,Widget E,South,4100.50,25,4
2024-10-08,Widget A,North,920.00,8,1
2024-10-09,Widget C,West,1875.30,14,2
2024-10-10,Widget D,South,-450.00,5,0
2024-10-11,Widget A,East,1320.00,11,1
2024-10-12,Widget B,North,2100.75,16,2
2024-10-13,Widget E,West,3650.00,22,3
2024-10-14,Widget C,South,1440.00,10,1
2024-10-15,Widget A,North,15000.00,90,5
2024-10-16,Widget D,East,2780.50,18,2
2024-10-17,Widget B,South,1100.00,9,1
2024-10-18,Widget E,North,5200.25,30,4
2024-10-19,Widget C,East,1650.00,13,1
2024-10-20,Widget A,Central,980.00,8,0
2024-10-21,Widget D,West,2450.00,17,2
2024-10-22,Widget B,North,1340.60,11,1
2024-10-23,Widget E,South,3890.00,24,3
2024-10-24,Widget A,East,1120.00,9,1
2024-10-25,Widget C,West,2200.00,15,2
2024-10-26,Widget D,North,1780.50,14,1
2024-10-27,Widget B,South,890.00,7,0
2024-10-27,Widget B,South,890.00,7,0
2024-10-28,Widget A,East,1560.75,12,1
2024-10-29,Widget E,West,4500.00,28,3
